List of Telemetric Rain guages installed,,,,,
SL NO,District,Taluk,Hobli,Hobli/GP/Location,Date of Commission
1,Bangalore Urban,Bangalore East,Bidarahalli,Kadugodi,26-07-2013
2,Bangalore Urban,Bangalore East,Krishnarajapura,Banaswadi,24-06-2013
3,Bangalore Urban,Bangalore East,Krishnarajapura,Basavanapura,16-07-2013
4,Bangalore Urban,Bangalore East,Krishnarajapura,Benniganahalli,16-07-2013
5,Bangalore Urban,Bangalore East,Krishnarajapura,Dommalur,24-06-2013
6,Bangalore Urban,Bangalore East,Krishnarajapura,Garudacharpalya,25-07-2013
7,Bangalore Urban,Bangalore East,Krishnarajapura,Hagaduru,26-07-2013
8,Bangalore Urban,Bangalore East,Krishnarajapura,HAL Airport,12-07-2013
9,Bangalore Urban,Bangalore East,Krishnarajapura,HAL Airport-2,02-08-2014
10,Bangalore Urban,Bangalore East,Krishnarajapura,HBR Layout,15-07-2013
11,Bangalore Urban,Bangalore East,Krishnarajapura,Hoodi,23-07-2013
12,Bangalore Urban,Bangalore East,Krishnarajapura,Horamavu,24-06-2013
13,Bangalore Urban,Bangalore East,Krishnarajapura,Horamavu-2,18-07-2013
14,Bangalore Urban,Bangalore East,Krishnarajapura,Hoysala Nagar,15-07-2013
15,Bangalore Urban,Bangalore East,Krishnarajapura,K.R.Puram,16-07-2013
16,Bangalore Urban,Bangalore East,Krishnarajapura,Kammanahalli,27-07-2014
17,Bangalore Urban,Bangalore East,Krishnarajapura,Konena Agrahara,02-08-2014
18,Bangalore Urban,Bangalore East,Krishnarajapura,Kushalnagar,18-07-2013
19,Bangalore Urban,Bangalore East,Krishnarajapura,Pulakeshinagar,02-07-2013
20,Bangalore Urban,Bangalore East,Krishnarajapura,Radhakrishna Temple Ward,18-07-2014
21,Bangalore Urban,Bangalore East,Krishnarajapura,Ramamurthy Nagar,15-07-2013
22,Bangalore Urban,Bangalore East,Krishnarajapura,Sampangiramanagar,12-07-2013
23,Bangalore Urban,Bangalore East,Krishnarajapura,Sampangiramanagar-2,12-07-2013
24,Bangalore Urban,Bangalore East,Krishnarajapura,Vannarpet,12-07-2013
25,Bangalore Urban,Bangalore East,Krishnarajapura,Vijnana Nagara,02-08-2014
26,Bangalore Urban,Bangalore East,Varturu,Bellandur,24-06-2013
27,Bangalore Urban,Bangalore East,Varturu,Bellandur-2,26-07-2013
28,Bangalore Urban,Bangalore East,Varturu,Doddanekkundi,28-07-2014
29,Bangalore Urban,Bangalore East,Varturu,Marathahalli,12-08-2014
30,Bangalore Urban,Bangalore North,Yelahanka,Attur,12-07-2013
31,Bangalore Urban,Bangalore North,Yelahanka,Byatarayanapura,07-06-2013
32,Bangalore Urban,Bangalore North,Yelahanka,Chowdeshwari,11-07-2013
33,Bangalore Urban,Bangalore North,Yelahanka,Doddabommasandra,18-07-2013
34,Bangalore Urban,Bangalore North,Yelahanka,Jakkuru,07-06-2013
35,Bangalore Urban,Bangalore North,Yelahanka,Jakkuru-2,18-07-2014
36,Bangalore Urban,Bangalore North,Yelahanka,Kodigehalli,10-06-2013
37,Bangalore Urban,Bangalore North,Yelahanka,Vidyaranyapura,11-07-2013
38,Bangalore Urban,Bangalore North,Yeshwantapura,Agrahara Dasarahalli,11-06-2014
39,Bangalore Urban,Bangalore North,Yeshwantapura,Bagalkunte,12-07-2013
40,Bangalore Urban,Bangalore North,Yeshwantapura,Chamarajpete,04-02-2014
41,Bangalore Urban,Bangalore North,Yeshwantapura,Chokkasandra,12-07-2013
42,Bangalore Urban,Bangalore North,Yeshwantapura,Cottonpete,07-06-2013
43,Bangalore Urban,Bangalore North,Yeshwantapura,Dayanandanagar,12-07-2013
44,Bangalore Urban,Bangalore North,Yeshwantapura,Doddabidirekallu,24-06-2013
45,Bangalore Urban,Bangalore North,Yeshwantapura,Gali Anjaneya Temple,12-07-2013
46,Bangalore Urban,Bangalore North,Yeshwantapura,Gnanabharathi,24-06-2013
47,Bangalore Urban,Bangalore North,Yeshwantapura,Hampi Nagar,28-07-2013
48,Bangalore Urban,Bangalore North,Yeshwantapura,Heggenahalli,12-07-2013
49,Bangalore Urban,Bangalore North,Yeshwantapura,Herohalli,24-06-2013
50,Bangalore Urban,Bangalore North,Yeshwantapura,HMT Ward,18-07-2014
51,Bangalore Urban,Bangalore North,Yeshwantapura,Manorayanapalya,11-06-2013
52,Bangalore Urban,Bangalore North,Yeshwantapura,Marappanapalya,27-07-2014
53,Bangalore Urban,Bangalore North,Yeshwantapura,Maruthi Mandira,12-07-2013
54,Bangalore Urban,Bangalore North,Yeshwantapura,Nagapura,30-05-2013
55,Bangalore Urban,Bangalore North,Yeshwantapura,Nagarabhavi,04-02-2014
56,Bangalore Urban,Bangalore North,Yeshwantapura,Nandini Layout,07-06-2013
57,Bangalore Urban,Bangalore North,Yeshwantapura,Peenya Indl.Area,12-07-2013
58,Bangalore Urban,Bangalore North,Yeshwantapura,Rajamahal Guttahalli,11-06-2013
59,Bangalore Urban,Bangalore North,Yeshwantapura,Shettihalli,12-07-2013
60,Bangalore Urban,Bangalore North,Yeshwantapura,Shivanagara,07-06-2013
61,Bangalore Urban,Bangalore North,Yeshwantapura,V.Nagenahalli,12-07-2013
62,Bangalore Urban,Bangalore South,Begur,Arakere,22-07-2013
63,Bangalore Urban,Bangalore South,Begur,Begur,24-07-2013
64,Bangalore Urban,Bangalore South,Begur,Bilekahalli,19-07-2013
65,Bangalore Urban,Bangalore South,Begur,Bommanahalli,05-02-2014
66,Bangalore Urban,Bangalore South,Begur,HSR Layout,02-08-2014
67,Bangalore Urban,Bangalore South,Begur,Koramangala,22-07-2013
68,Bangalore Urban,Bangalore South,Begur,Lakkasandra,25-07-2013
69,Bangalore Urban,Bangalore South,Begur,Sarakki,07-08-2014
70,Bangalore Urban,Bangalore South,Begur,Singasandra,28-07-2013
71,Bangalore Urban,Bangalore South,Begur,Singasandra-2,06-03-2015
72,Bangalore Urban,Bangalore South,Kengeri,Hemmigepura,12-07-2013
73,Bangalore Urban,Bangalore South,Kengeri,Hemmigepura-2,24-07-2013
74,Bangalore Urban,Bangalore South,Kengeri,Kengeri,10-06-2013
75,Bangalore Urban,Bangalore South,Kengeri,Nayandahalli,12-07-2013
76,Bangalore Urban,Bangalore South,Kengeri,Rajarajeshwarinagar,10-06-2013
77,Bangalore Urban,Bangalore South,Kengeri,Rajarajeshwarinagar-2,05-02-2014
78,Bangalore Urban,Bangalore South,Tavarekere,B.T.M.Layout,24-06-2013
79,Bangalore Urban,Bangalore South,Tavarekere,Basavanagudi,05-02-2014
80,Bangalore Urban,Bangalore South,Tavarekere,Kumaraswamy Layout,04-02-2014
81,Bangalore Urban,Bangalore South,Tavarekere,Pattabhiramanagar,11-07-2013
82,Bangalore Urban,Bangalore South,Tavarekere,Vidyapeeta,11-07-2013
83,Bangalore Urban,Bangalore South,Tavarekere,Vishweshwarapuram,24-06-2013
84,Bangalore Urban,Bangalore South,Uttarahalli,Anjanapura,28-07-2013
85,Bangalore Urban,Bangalore South,Uttarahalli,Gottigere,24-07-2013
86,Bangalore Urban,Bangalore South,Uttarahalli,Konanakunte,24-06-2013
87,Bangalore Urban,Bangalore South,Uttarahalli,Konanakunte-2,05-02-2014
88,Bangalore Urban,Anekal,Attibele,Attibele,27-01-2009
89,Bangalore Urban,Anekal,Jigani,Jigani,06-05-2009
90,Bangalore Urban,Anekal,Sarjapur,Sarjapur,09-06-2009
91,Bangalore Urban,Bangalore East,Bidarahalli,Bidarahalli,08-06-2010
92,Bangalore Urban,Bangalore East,Krishnarajapura,Krishnarajapura,06-05-2009
93,Bangalore Urban,Bangalore East,Varturu,Varturu,06-03-2010
94,Bangalore Urban,Bangalore North,Bangalore North,Bangalore North,06-05-2009
95,Bangalore Urban,Bangalore North,Dasanapura,Dasanapura,06-05-2009
96,Bangalore Urban,Bangalore North,Hesaraghatta,Hesaraghatta,06-03-2010
97,Bangalore Urban,Bangalore North,Jala,Jala,06-05-2009
98,Bangalore Urban,Bangalore North,Yelahanka,Yelahanka,30-06-2010
99,Bangalore Urban,Bangalore North,Yeshwantapura,Basaveswaranagar,06-05-2009
100,Bangalore Urban,Bangalore North,Yeshwantapura,Yeshwantapura,27-01-2009
101,Bangalore Urban,Bangalore South,Begur,Begur,29-06-2010
102,Bangalore Urban,Bangalore South,Kengeri,Kengeri,15-07-2010
103,Bangalore Urban,Bangalore South,Tavarekere,Tavarekere,16-07-2009
104,Bangalore Urban,Bangalore South,Uttarahalli,Uttarahalli,30-06-2010
105,Bangalore Urban,Bangalore South,Kengeri,K.G.Halli(Gonipura),10-09-2013
106,Bangalore Urban,Bangalore South,Tavarekere,Chikkanahalli,10-09-2013
107,Bangalore Urban,Bangalore South,Tavarekere,Tavarekere,10-09-2013
108,Bangalore Urban,Anekal,Anekal,Byagadadenahalli,03-04-2015
109,Bangalore Urban,Anekal,Anekal,Indlawadi,03-04-2015
110,Bangalore Urban,Anekal,Anekal,Karpur,03-04-2015
111,Bangalore Urban,Anekal,Anekal,Marasuru,03-04-2015
112,Bangalore Urban,Anekal,Anekal,Samanduru,03-04-2015
113,Bangalore Urban,Anekal,Anekal,Suragajakkanahalli,03-04-2015
114,Bangalore Urban,Anekal,Anekal,Vanakanahalli,03-04-2015
115,Bangalore Urban,Anekal,Attibele,Balluru,03-04-2015
116,Bangalore Urban,Anekal,Attibele,Bidaraguppe,03-04-2015
117,Bangalore Urban,Anekal,Attibele,Bommasandra,03-04-2015
118,Bangalore Urban,Anekal,Attibele,Chandapura,03-04-2015
119,Bangalore Urban,Anekal,Attibele,Hebbagodi,03-04-2015
120,Bangalore Urban,Anekal,Attibele,Mayasandra,03-04-2015
121,Bangalore Urban,Anekal,Attibele,Neraluru,03-04-2015
122,Bangalore Urban,Anekal,Jigani,Bannerughatta,03-04-2015
123,Bangalore Urban,Anekal,Jigani,Haragadde,03-04-2015
124,Bangalore Urban,Anekal,Jigani,Hennagara,03-04-2015
125,Bangalore Urban,Anekal,Jigani,Hulimangala,03-04-2015
126,Bangalore Urban,Anekal,Jigani,Kallubalu,03-04-2015
127,Bangalore Urban,Anekal,Jigani,Mantapa,03-04-2015
128,Bangalore Urban,Anekal,Jigani,Ragihalli,03-04-2015
129,Bangalore Urban,Anekal,Sarjapur,Dommasandra,03-04-2015
130,Bangalore Urban,Anekal,Sarjapur,Handenahalli,03-04-2015
131,Bangalore Urban,Anekal,Sarjapur,Huskuru,03-04-2015
132,Bangalore Urban,Anekal,Sarjapur,Mugaluru,03-04-2015
133,Bangalore Urban,Anekal,Sarjapur,Mutthanalluru,03-04-2015
134,Bangalore Urban,Anekal,Sarjapur,Neriga,03-04-2015
135,Bangalore Urban,Anekal,Sarjapur,Shanthipura,03-04-2015
136,Bangalore Urban,Anekal,Sarjapur,Yamare,03-04-2015
137,Bangalore Urban,Bangalore East,Bidarahalli,Avalahalli,03-04-2015
138,Bangalore Urban,Bangalore East,Bidarahalli,Doddabanahalli,03-04-2015
139,Bangalore Urban,Bangalore East,Bidarahalli,Doddagubbi,03-04-2015
140,Bangalore Urban,Bangalore East,Bidarahalli,Kannuru,03-04-2015
141,Bangalore Urban,Bangalore East,Bidarahalli,Manduru,03-04-2015
142,Bangalore Urban,Bangalore East,Bidarahalli,Sheegehalli,03-04-2015
143,Bangalore Urban,Bangalore East,Varturu,Halanayakanahalli,03-04-2015
144,Bangalore Urban,Bangalore East,Varturu,Kodathi,03-04-2015
145,Bangalore Urban,Bangalore North,Dasanapura,Aluru,03-04-2015
146,Bangalore Urban,Bangalore North,Dasanapura,Gopalapura,03-04-2015
147,Bangalore Urban,Bangalore North,Dasanapura,Huskuru,03-04-2015
148,Bangalore Urban,Bangalore North,Dasanapura,Kithanahalli,03-04-2015
149,Bangalore Urban,Bangalore North,Dasanapura,Machohalli,03-04-2015
150,Bangalore Urban,Bangalore North,Dasanapura,Madanayakanahalli,03-04-2015
151,Bangalore Urban,Bangalore North,Dasanapura,Madavara,03-04-2015
152,Bangalore Urban,Bangalore North,Dasanapura,Sondekoppa,03-04-2015
153,Bangalore Urban,Bangalore North,Hesaraghatta,Arakere,03-04-2015
154,Bangalore Urban,Bangalore North,Hesaraghatta,Hurulichikkanahalli,03-04-2015
155,Bangalore Urban,Bangalore North,Hesaraghatta,Kasagattapura,03-04-2015
156,Bangalore Urban,Bangalore North,Hesaraghatta,Rajanukunte,03-04-2015
157,Bangalore Urban,Bangalore North,Hesaraghatta,Shivakote,03-04-2015
158,Bangalore Urban,Bangalore North,Hesaraghatta,Sonnenahalli,03-04-2015
159,Bangalore Urban,Bangalore North,Jala,Bagaluru,03-04-2015
160,Bangalore Urban,Bangalore North,Jala,Bandikodagehalli,03-04-2015
161,Bangalore Urban,Bangalore North,Jala,Bettahalasooru,03-04-2015
162,Bangalore Urban,Bangalore North,Jala,Doddajala,03-04-2015
163,Bangalore Urban,Bangalore North,Jala,Marenahalli,03-04-2015
164,Bangalore Urban,Bangalore North,Jala,Sonnappanahalli,03-04-2015
165,Bangalore Urban,Bangalore North,Yelahanka,Gantiganahalli,03-04-2015
166,Bangalore Urban,Bangalore North,Yelahanka,Hunasemaranahalli,03-04-2015
167,Bangalore Urban,Bangalore North,Yelahanka,Singanayakanahalli,03-04-2015
168,Bangalore Urban,Bangalore North,Yelahanka,Vaderahalli,03-04-2015
169,Bangalore Urban,Bangalore North,Yeshwantapura,Chikkabanavara,03-04-2015
170,Bangalore Urban,Bangalore North,Yeshwantapura,Kodigehalli,03-04-2015
171,Bangalore Urban,Bangalore North,Yeshwantapura,Somashettihalli,03-04-2015
172,Bangalore Urban,Bangalore South,Begur,H.Gollahalli,03-04-2015
173,Bangalore Urban,Bangalore South,Begur,Konappanaagrahara,03-04-2015
174,Bangalore Urban,Bangalore South,Kengeri,Ramohalli,03-04-2015
175,Bangalore Urban,Bangalore South,Kengeri,Sulikere,03-04-2015
176,Bangalore Urban,Bangalore South,Tavarekere,Cholanayakanahalli,03-04-2015
177,Bangalore Urban,Bangalore South,Tavarekere,Chunchanakuppe,03-04-2015
178,Bangalore Urban,Bangalore South,Uttarahalli,Kaggalipura,03-04-2015
179,Bangalore Urban,Bangalore South,Uttarahalli,Somanahalli,03-04-2015
180,Bangalore Urban,Bangalore South,Uttarahalli,Tharalu,03-04-2015
181,Bangalore Rural,Devanahalli,Channarayapatna,Channarayapatna,31-12-2013
182,Bangalore Rural,Devanahalli,Devanahalli,Devanahalli,06-05-2009
183,Bangalore Rural,Devanahalli,Kundana,Kundana,28-12-2013
184,Bangalore Rural,Devanahalli,Vijayapura,Vijayapura,30-12-2013
185,Bangalore Rural,Doddaballapura,Doddaballapura,Doddaballapura,26-11-2013
186,Bangalore Rural,Doddaballapura,Doddabelavangala,Doddabelavangala,26-11-2013
187,Bangalore Rural,Doddaballapura,Madhure,Madhure,26-11-2013
188,Bangalore Rural,Doddaballapura,Sasalu,Sasalu,21-05-2015
189,Bangalore Rural,Doddaballapura,Tubagere,Tubagere,28-12-2013
190,Bangalore Rural,Hosakote,Anugondahalli,Anugondahalli,02-01-2014
191,Bangalore Rural,Hosakote,Hosakote,Hosakote,09-06-2011
192,Bangalore Rural,Hosakote,Jadigenahalli,Jadigenahalli,31-12-2013
193,Bangalore Rural,Hosakote,Nandagudi,Nandagudi,02-01-2014
194,Bangalore Rural,Hosakote,Sulibele,Sulibele,31-12-2013
195,Bangalore Rural,Nelamangala,Nelamangala,Nelamangala,06-05-2009
196,Bangalore Rural,Nelamangala,Sompura,Sompura,24-12-2013
197,Bangalore Rural,Nelamangala,Thyamagondlu,Thyamagondlu,24-12-2013
